`	60
´	b4
^	5e
¯	af
¨	a8
¸	b8
©	a9
®	ae
°	b0
+	2b
±	b1
÷	f7
×	d7
<	3c
=	3d
>	3e
¬	ac
|	7c
¦	a6
~	7e
¤	a4
¢	a2
$	24
£	a3
¥	a5
0	30
1 ¹	31 b9
½	bd
¼	bc
2 ²	32 b2
3 ³	33 b3
¾	be
4	34
5	35
6	36
7	37
8	38
9	39
A a ª À Á Â Ã Ä Å à á â ã ä å Ā ā Ă ă Ą ą Ǎ ǎ Ǟ ǟ Ǡ ǡ Ǻ ǻ Ȁ ȁ Ȃ ȃ Ȧ ȧ	41 61 aa c0 c1 c2 c3 c4 c5 e0 e1 e2 e3 e4 e5 100 101 102 103 104 105 1cd 1ce 1de 1df 1e0 1e1 1fa 1fb 200 201 202 203 226 227
Æ æ Ǣ ǣ Ǽ ǽ	c6 e6 1e2 1e3 1fc 1fd
B b	42 62
ƀ	180
Ɓ	181
Ƃ ƃ	182 183
C c Ç ç Ć ć Ĉ ĉ Ċ ċ Č č	43 63 c7 e7 106 107 108 109 10a 10b 10c 10d
Ƈ ƈ	187 188
D d Ď ď	44 64 10e 10f
Ǆ ǅ ǆ Ǳ ǲ ǳ	1c4 1c5 1c6 1f1 1f2 1f3
Đ đ	110 111
Ɖ	189
Ɗ	18a
Ƌ ƌ	18b 18c
ȡ	221
Ð ð	d0 f0
E e È É Ê Ë è é ê ë Ē ē Ĕ ĕ Ė ė Ę ę Ě ě Ȅ ȅ Ȇ ȇ Ȩ ȩ	45 65 c8 c9 ca cb e8 e9 ea eb 112 113 114 115 116 117 118 119 11a 11b 204 205 206 207 228 229
Ǝ ǝ	18e 1dd
Ə	18f
Ɛ	190
F f	46 66
Ƒ ƒ	191 192
G g Ĝ ĝ Ğ ğ Ġ ġ Ģ ģ Ǧ ǧ Ǵ ǵ	47 67 11c 11d 11e 11f 120 121 122 123 1e6 1e7 1f4 1f5
Ǥ ǥ	1e4 1e5
Ɠ	193
Ɣ	194
Ƣ ƣ	1a2 1a3
H h Ĥ ĥ Ȟ ȟ	48 68 124 125 21e 21f
ƕ Ƕ	195 1f6
Ħ ħ	126 127
I i Ì Í Î Ï ì í î ï Ĩ ĩ Ī ī Ĭ ĭ Į į İ Ǐ ǐ Ȉ ȉ Ȋ ȋ	49 69 cc cd ce cf ec ed ee ef 128 129 12a 12b 12c 12d 12e 12f 130 1cf 1d0 208 209 20a 20b
Ĳ ĳ	132 133
ı	131
Ɨ	197
Ɩ	196
J j Ĵ ĵ ǰ	4a 6a 134 135 1f0
K k Ķ ķ Ǩ ǩ	4b 6b 136 137 1e8 1e9
